Year,Area,Variable,Generation (TWh),Production (TWh),Share of production (%)
2004,Sweden,Wind,1,152,1
2004,Sweden,Bioenergy,7,152,5
2004,United Kingdom,Fossil,297,391,76
2004,United Kingdom,Coal,132,391,34
2004,United Kingdom,Hard Coal,132,391,34
2004,United Kingdom,Gas,157,391,40
2004,United Kingdom,Fossil,8,391,2
2004,United Kingdom,Nuclear,80,391,20
2004,United Kingdom,Renewables,14,391,4
2004,United Kingdom,Hydro,5,391,1
2004,United Kingdom,Wind and solar,2,391,0
2004,United Kingdom,Wind,2,391,0
2004,United Kingdom,Bioenergy,7,391,2
2005,Austria,Fossil,24,64,37
2005,Austria,Coal,7,64,11
2005,Austria,Hard Coal,6,64,9
2005,Austria,Lignite,1,64,2
2005,Austria,Gas,13,64,20
2005,Austria,Fossil,3,64,5
2005,Austria,Renewables,41,64,63
2005,Austria,Hydro,37,64,58
2005,Austria,Wind and solar,1,64,2
2005,Austria,Wind,1,64,2
2005,Austria,Bioenergy,2,64,4
2005,Belgium,Fossil,36,85,42
2005,Belgium,Coal,8,85,10
2005,Belgium,Hard Coal,8,85,10
2005,Belgium,Gas,23,85,27
2005,Belgium,Fossil,5,85,5
2005,Belgium,Nuclear,48,85,56
2005,Belgium,Renewables,2,85,2
2005,Belgium,Bioenergy,2,85,2
2005,Bulgaria,Fossil,21,44,48
2005,Bulgaria,Coal,18,44,42
2005,Bulgaria,Hard Coal,4,44,10
2005,Bulgaria,Lignite,14,44,32
2005,Bulgaria,Gas,2,44,4
2005,Bulgaria,Fossil,1,44,2
2005,Bulgaria,Nuclear,19,44,42
2005,Bulgaria,Renewables,4,44,10
2005,Bulgaria,Hydro,4,44,10
2005,Croatia,Fossil,6,13,46
2005,Croatia,Coal,2,13,18
2005,Croatia,Hard Coal,2,13,18
2005,Croatia,Gas,2,13,14
2005,Croatia,Fossil,2,13,14
2005,Croatia,Renewables,7,13,54
2005,Croatia,Hydro,7,13,54
2005,Cyprus,Fossil,4,4,100
2005,Cyprus,Fossil,4,4,100
2005,Czech Republic,Fossil,54,82,66
2005,Czech Republic,Coal,50,82,60
2005,Czech Republic,Hard Coal,6,82,7
2005,Czech Republic,Lignite,44,82,54
2005,Czech Republic,Gas,1,82,2
2005,Czech Republic,Fossil,3,82,4
2005,Czech Republic,Nuclear,25,82,30
2005,Czech Republic,Renewables,3,82,4
2005,Czech Republic,Hydro,2,82,3
2005,Czech Republic,Bioenergy,1,82,1
2005,Denmark,Fossil,26,36,73
2005,Denmark,Coal,15,36,43
2005,Denmark,Hard Coal,15,36,43
2005,Denmark,Gas,9,36,24
2005,Denmark,Fossil,2,36,6
2005,Denmark,Renewables,10,36,27
2005,Denmark,Wind and solar,7,36,18
2005,Denmark,Wind,7,36,18
2005,Denmark,Bioenergy,3,36,9
2005,Estonia,Fossil,10,10,99
2005,Estonia,Gas,1,10,5
2005,Estonia,Fossil,10,10,94
2005,Finland,Fossil,24,70,34
2005,Finland,Coal,6,70,9
2005,Finland,Hard Coal,6,70,9
2005,Finland,Gas,11,70,16
2005,Finland,Fossil,6,70,8
2005,Finland,Nuclear,23,70,33
2005,Finland,Renewables,23,70,33
2005,Finland,Hydro,14,70,20
2005,Finland,Bioenergy,10,70,14
2005,France,Fossil,63,571,11
2005,France,Coal,28,571,5
2005,France,Hard Coal,28,571,5
2005,France,Gas,23,571,4
2005,France,Fossil,13,571,2
2005,France,Nuclear,452,571,79
2005,France,Renewables,56,571,10
2005,France,Hydro,51,571,9
2005,France,Wind and solar,1,571,0
2005,France,Wind,1,571,0
2005,France,Bioenergy,3,571,1
2005,Germany,Fossil,390,617,63
2005,Germany,Coal,288,617,47
2005,Germany,Hard Coal,134,617,22
2005,Germany,Lignite,154,617,25
2005,Germany,Gas,73,617,12
2005,Germany,Fossil,29,617,5
2005,Germany,Nuclear,163,617,26
2005,Germany,Renewables,64,617,10
2005,Germany,Hydro,20,617,3
2005,Germany,Wind and solar,29,617,5
2005,Germany,Wind,28,617,5
2005,Germany,Solar,1,617,0
2005,Germany,Bioenergy,15,617,2
2005,Greece,Fossil,53,59,89
2005,Greece,Coal,36,59,60
2005,Greece,Lignite,36,59,60
2005,Greece,Gas,8,59,14
2005,Greece,Fossil,9,59,16
2005,Greece,Renewables,6,59,11
2005,Greece,Hydro,5,59,8
2005,Greece,Wind and solar,1,59,2
2005,Greece,Wind,1,59,2
2005,Hungary,Fossil,20,36,56
2005,Hungary,Coal,7,36,20
2005,Hungary,Lignite,7,36,19
2005,Hungary,Gas,12,36,35
2005,Hungary,Fossil,1,36,2
2005,Hungary,Nuclear,14,36,39
2005,Hungary,Renewables,2,36,5
2005,Hungary,Bioenergy,2,36,5
2005,Ireland,Fossil,24,26,93
2005,Ireland,Coal,6,26,25
2005,Ireland,Hard Coal,6,26,25
2005,Ireland,Gas,12,26,45
2005,Ireland,Fossil,6,26,23
2005,Ireland,Renewables,2,26,7
2005,Ireland,Hydro,1,26,2
2005,Ireland,Wind and solar,1,26,4
2005,Ireland,Wind,1,26,4
2005,Italy,Fossil,247,296,84
2005,Italy,Coal,44,296,15
2005,Italy,Hard Coal,44,296,15
2005,Italy,Gas,149,296,50
2005,Italy,Fossil,54,296,18
2005,Italy,Renewables,48,296,16
2005,Italy,Hydro,36,296,12
2005,Italy,Wind and solar,2,296,1
2005,Italy,Wind,2,296,1
2005,Italy,Bioenergy,5,296,2
2005,Italy,Renewables,5,296,2
2005,Latvia,Fossil,1,5,30
2005,Latvia,Gas,1,5,30
2005,Latvia,Renewables,3,5,70
2005,Latvia,Hydro,3,5,68
2005,Lithuania,Fossil,3,14,24
2005,Lithuania,Gas,3,14,21
2005,Lithuania,Nuclear,10,14,73
2005,Luxembourg,Fossil,3,3,94
2005,Luxembourg,Gas,3,3,93
2005,Malta,Fossil,2,2,100
2005,Malta,Fossil,2,2,100
2005,Netherlands,Fossil,88,100,89
2005,Netherlands,Coal,24,100,24
2005,Netherlands,Hard Coal,24,100,24
2005,Netherlands,Gas,58,100,58
2005,Netherlands,Fossil,7,100,7
2005,Netherlands,Nuclear,4,100,4
2005,Netherlands,Renewables,7,100,7
2005,Netherlands,Wind and solar,2,100,2
2005,Netherlands,Wind,2,100,2
2005,Netherlands,Bioenergy,5,100,5
2005,Poland,Fossil,151,155,98
2005,Poland,Coal,142,155,92
2005,Poland,Hard Coal,87,155,56
2005,Poland,Lignite,55,155,35
2005,Poland,Gas,5,155,3
2005,Poland,Fossil,4,155,3
2005,Poland,Renewables,4,155,2
2005,Poland,Hydro,2,155,1
2005,Poland,Bioenergy,2,155,1
2005,Portugal,Fossil,38,46,82
2005,Portugal,Coal,15,46,33
2005,Portugal,Hard Coal,15,46,33
2005,Portugal,Gas,14,46,29
2005,Portugal,Fossil,9,46,20
2005,Portugal,Renewables,8,46,18
2005,Portugal,Hydro,5,46,10
2005,Portugal,Wind and solar,2,46,4
2005,Portugal,Wind,2,46,4
2005,Portugal,Bioenergy,2,46,4
2005,Romania,Fossil,34,59,57
2005,Romania,Coal,22,59,37
2005,Romania,Lignite,21,59,36
2005,Romania,Gas,10,59,16
2005,Romania,Fossil,2,59,4
2005,Romania,Nuclear,6,59,9
2005,Romania,Renewables,20,59,34
2005,Romania,Hydro,20,59,34
2005,Slovakia,Fossil,9,31,28
2005,Slovakia,Coal,6,31,18
2005,Slovakia,Hard Coal,4,31,11
2005,Slovakia,Lignite,2,31,6
2005,Slovakia,Gas,2,31,7
2005,Slovakia,Fossil,1,31,4
2005,Slovakia,Nuclear,18,31,57
2005,Slovakia,Renewables,5,31,15
2005,Slovakia,Hydro,5,31,15
2005,Slovenia,Fossil,6,15,37
2005,Slovenia,Coal,5,15,35
2005,Slovenia,Hard Coal,1,15,3
2005,Slovenia,Lignite,5,15,31
2005,Slovenia,Nuclear,6,15,39
2005,Slovenia,Renewables,4,15,24
2005,Slovenia,Hydro,3,15,23
2005,Spain,Fossil,185,284,65
2005,Spain,Coal,79,284,28
2005,Spain,Hard Coal,74,284,26
2005,Spain,Lignite,5,284,2
2005,Spain,Gas,79,284,28
2005,Spain,Fossil,27,284,9
2005,Spain,Nuclear,58,284,20
2005,Spain,Renewables,42,284,15
2005,Spain,Hydro,18,284,6
2005,Spain,Wind and solar,21,284,7
2005,Spain,Wind,21,284,7
2005,Spain,Bioenergy,3,284,1
2005,Sweden,Fossil,5,158,3
2005,Sweden,Coal,1,158,0
2005,Sweden,Hard Coal,1,158,0
2005,Sweden,Gas,1,158,0
2005,Sweden,Fossil,4,158,2
2005,Sweden,Nuclear,72,158,46
2005,Sweden,Renewables,81,158,51
2005,Sweden,Hydro,73,158,46
2005,Sweden,Wind and solar,1,158,1
2005,Sweden,Wind,1,158,1
2005,Sweden,Bioenergy,7,158,5
2005,United Kingdom,Fossil,297,395,75
2005,United Kingdom,Coal,135,395,34
2005,United Kingdom,Hard Coal,135,395,34
2005,United Kingdom,Gas,153,395,39
2005,United Kingdom,Fossil,10,395,2
2005,United Kingdom,Nuclear,82,395,21
2005,United Kingdom,Renewables,17,395,4
2005,United Kingdom,Hydro,5,395,1
2005,United Kingdom,Wind and solar,3,395,1
2005,United Kingdom,Wind,3,395,1
2005,United Kingdom,Bioenergy,9,395,2
2006,Austria,Fossil,21,62,34
2006,Austria,Coal,7,62,11
2006,Austria,Hard Coal,6,62,10
2006,Austria,Lignite,1,62,1
2006,Austria,Gas,11,62,17
2006,Austria,Fossil,4,62,6
2006,Austria,Renewables,41,62,66
2006,Austria,Hydro,36,62,58
2006,Austria,Wind and solar,2,62,3
2006,Austria,Wind,2,62,3
2006,Austria,Bioenergy,3,62,5
2006,Belgium,Fossil,34,84,41
2006,Belgium,Coal,7,84,8
2006,Belgium,Hard Coal,7,84,8
2006,Belgium,Gas,23,84,27
2006,Belgium,Fossil,5,84,5
2006,Belgium,Nuclear,47,84,55
2006,Belgium,Renewables,3,84,4
2006,Belgium,Bioenergy,2,84,3
2006,Bulgaria,Fossil,22,45,48
2006,Bulgaria,Coal,19,45,42
2006,Bulgaria,Hard Coal,5,45,11
2006,Bulgaria,Lignite,14,45,31
2006,Bulgaria,Gas,2,45,5
2006,Bulgaria,Fossil,1,45,1
2006,Bulgaria,Nuclear,19,45,43
2006,Bulgaria,Renewables,4,45,9
2006,Bulgaria,Hydro,4,45,9
2006,Croatia,Fossil,6,13,49
2006,Croatia,Coal,2,13,17
2006,Croatia,Hard Coal,2,13,17
2006,Croatia,Gas,2,13,16
2006,Croatia,Fossil,2,13,15
2006,Croatia,Renewables,7,13,51
2006,Croatia,Hydro,7,13,51
2006,Cyprus,Fossil,5,5,100
2006,Cyprus,Fossil,5,5,100
2006,Czech Republic,Fossil,54,84,65
2006,Czech Republic,Coal,50,84,59
2006,Czech Republic,Hard Coal,6,84,7
2006,Czech Republic,Lignite,44,84,52
2006,Czech Republic,Gas,2,84,2
2006,Czech Republic,Fossil,3,84,3
2006,Czech Republic,Nuclear,26,84,31
2006,Czech Republic,Renewables,4,84,4
2006,Czech Republic,Hydro,3,84,3
2006,Czech Republic,Bioenergy,1,84,1
2006,Denmark,Fossil,36,46,80
2006,Denmark,Coal,25,46,54
2006,Denmark,Hard Coal,25,46,54
2006,Denmark,Gas,9,46,21
2006,Denmark,Fossil,2,46,5
2006,Denmark,Renewables,9,46,20
2006,Denmark,Wind and solar,6,46,13
2006,Denmark,Wind,6,46,13
2006,Denmark,Bioenergy,3,46,7
2006,Estonia,Fossil,10,10,99
2006,Estonia,Gas,1,10,6
2006,Estonia,Fossil,9,10,93
2006,Finland,Fossil,37,82,45
2006,Finland,Coal,16,82,20
2006,Finland,Hard Coal,16,82,20
2006,Finland,Gas,12,82,15
2006,Finland,Fossil,8,82,10
2006,Finland,Nuclear,23,82,28
2006,Finland,Renewables,22,82,27
2006,Finland,Hydro,11,82,14
2006,Finland,Bioenergy,11,82,13
2006,France,Fossil,57,569,10
2006,France,Coal,23,569,4
2006,France,Hard Coal,23,569,4
2006,France,Gas,22,569,4
2006,France,Fossil,12,569,2
2006,France,Nuclear,450,569,79
2006,France,Renewables,62,569,11
2006,France,Hydro,56,569,10
2006,France,Wind and solar,2,569,0
2006,France,Wind,2,569,0
2006,France,Bioenergy,3,569,1
2006,Germany,Fossil,394,634,62
2006,Germany,Coal,289,634,46
2006,Germany,Hard Coal,138,634,22
2006,Germany,Lignite,151,634,24
2006,Germany,Gas,75,634,12
2006,Germany,Fossil,29,634,5
2006,Germany,Nuclear,167,634,26
2006,Germany,Renewables,73,634,11
2006,Germany,Hydro,20,634,3
2006,Germany,Wind and solar,34,634,5
2006,Germany,Wind,31,634,5
2006,Germany,Solar,2,634,0
2006,Germany,Bioenergy,19,634,3
2006,Greece,Fossil,53,60,87
2006,Greece,Coal,32,60,54
2006,Greece,Lignite,32,60,54
2006,Greece,Gas,11,60,18
2006,Greece,Fossil,10,60,16
2006,Greece,Renewables,8,60,13
2006,Greece,Hydro,6,60,10
2006,Greece,Wind and solar,2,60,3
2006,Greece,Wind,2,60,3
2006,Hungary,Fossil,21,36,58
2006,Hungary,Coal,7,36,20
2006,Hungary,Lignite,7,36,19
2006,Hungary,Gas,13,36,37
2006,Hungary,Fossil,1,36,2
2006,Hungary,Nuclear,13,36,38
2006,Hungary,Renewables,1,36,4
2006,Hungary,Bioenergy,1,36,4
2006,Ireland,Fossil,25,27,91
2006,Ireland,Coal,6,27,22
2006,Ireland,Hard Coal,6,27,22
2006,Ireland,Gas,14,27,51
2006,Ireland,Fossil,5,27,18
2006,Ireland,Renewables,2,27,9
2006,Ireland,Hydro,1,27,3
2006,Ireland,Wind and solar,2,27,6
2006,Ireland,Wind,2,27,6
2006,Italy,Fossil,256,307,83
2006,Italy,Coal,44,307,14
2006,Italy,Hard Coal,44,307,14
2006,Italy,Gas,158,307,52
2006,Italy,Fossil,54,307,18
2006,Italy,Renewables,51,307,17
2006,Italy,Hydro,37,307,12
2006,Italy,Wind and solar,3,307,1
2006,Italy,Wind,3,307,1
2006,Italy,Bioenergy,5,307,2
2006,Italy,Renewables,6,307,2
2006,Latvia,Fossil,2,5,43
2006,Latvia,Gas,2,5,43
2006,Latvia,Renewables,3,5,57
2006,Latvia,Hydro,3,5,55
2006,Lithuania,Fossil,3,12,24
2006,Lithuania,Gas,2,12,21
2006,Lithuania,Nuclear,9,12,73
2006,Luxembourg,Fossil,3,4,93
2006,Luxembourg,Gas,3,4,92
2006,Malta,Fossil,2,2,100
2006,Malta,Fossil,2,2,100
2006,Netherlands,Fossil,87,99,88
2006,Netherlands,Coal,24,99,24
2006,Netherlands,Hard Coal,24,99,24
2006,Netherlands,Gas,57,99,58
2006,Netherlands,Fossil,6,99,6
2006,Netherlands,Nuclear,3,99,4
2006,Netherlands,Renewables,8,99,8
2006,Netherlands,Wind and solar,3,99,3
2006,Netherlands,Wind,3,99,3
2006,Netherlands,Bioenergy,5,99,5
2006,Poland,Fossil,156,160,97
2006,Poland,Coal,147,160,92
2006,Poland,Hard Coal,94,160,58
2006,Poland,Lignite,53,160,33
2006,Poland,Gas,5,160,3
2006,Poland,Fossil,5,160,3
2006,Poland,Renewables,4,160,3
2006,Poland,Hydro,2,160,1
2006,Poland,Bioenergy,2,160,1
2006,Portugal,Fossil,33,49,68
2006,Portugal,Coal,15,49,31
2006,Portugal,Hard Coal,15,49,31
2006,Portugal,Gas,12,49,25
2006,Portugal,Fossil,6,49,11
2006,Portugal,Renewables,16,49,32
2006,Portugal,Hydro,11,49,23
2006,Portugal,Wind and solar,3,49,6
2006,Portugal,Wind,3,49,6
2006,Portugal,Bioenergy,2,49,4
2006,Romania,Fossil,39,63,62
2006,Romania,Coal,25,63,40
2006,Romania,Hard Coal,1,63,1
2006,Romania,Lignite,25,63,39
2006,Romania,Gas,12,63,19
2006,Romania,Fossil,2,63,3
2006,Romania,Nuclear,6,63,9
2006,Romania,Renewables,18,63,29
2006,Romania,Hydro,18,63,29
2006,Slovakia,Fossil,8,31,27
2006,Slovakia,Coal,5,31,17
2006,Slovakia,Hard Coal,3,31,11
2006,Slovakia,Lignite,2,31,6
2006,Slovakia,Gas,2,31,6
2006,Slovakia,Fossil,1,31,4
2006,Slovakia,Nuclear,18,31,58
2006,Slovakia,Renewables,5,31,15
2006,Slovakia,Hydro,4,31,14
2006,Slovenia,Fossil,6,15,39
2006,Slovenia,Coal,5,15,36
2006,Slovenia,Hard Coal,1,15,3
2006,Slovenia,Lignite,5,15,33
2006,Slovenia,Nuclear,6,15,37
2006,Slovenia,Renewables,4,15,24
2006,Slovenia,Hydro,4,15,24
2006,Spain,Fossil,183,295,62
2006,Spain,Coal,67,295,23
2006,Spain,Hard Coal,62,295,21
2006,Spain,Lignite,5,295,2
2006,Spain,Gas,91,295,31
2006,Spain,Fossil,26,295,9
2006,Spain,Nuclear,60,295,20
2006,Spain,Renewables,52,295,18
2006,Spain,Hydro,26,295,9
2006,Spain,Wind and solar,23,295,8
2006,Spain,Wind,23,295,8
2006,Spain,Bioenergy,3,295,1
2006,Sweden,Fossil,5,143,4
2006,Sweden,Coal,1,143,1
2006,Sweden,Hard Coal,1,143,1
2006,Sweden,Gas,1,143,0
2006,Sweden,Fossil,4,143,3
2006,Sweden,Nuclear,67,143,47
2006,Sweden,Renewables,71,143,50
2006,Sweden,Hydro,62,143,43
2006,Sweden,Wind and solar,1,143,1
2006,Sweden,Wind,1,143,1
2006,Sweden,Bioenergy,8,143,6
2006,United Kingdom,Fossil,300,393,76
2006,United Kingdom,Coal,149,393,38
2006,United Kingdom,Hard Coal,149,393,38
2006,United Kingdom,Gas,141,393,36
2006,United Kingdom,Fossil,10,393,3
2006,United Kingdom,Nuclear,75,393,19
2006,United Kingdom,Renewables,18,393,5
2006,United Kingdom,Hydro,5,393,1
2006,United Kingdom,Wind and solar,4,393,1
2006,United Kingdom,Wind,4,393,1
2006,United Kingdom,Bioenergy,9,393,2
2007,Austria,Fossil,20,63,31
2007,Austria,Coal,7,63,10
2007,Austria,Hard Coal,7,63,10
2007,Austria,Gas,10,63,16
2007,Austria,Fossil,3,63,5
2007,Austria,Renewables,43,63,69
2007,Austria,Hydro,37,63,59
2007,Austria,Wind and solar,2,63,3
2007,Austria,Wind,2,63,3
2007,Austria,Bioenergy,4,63,6
2007,Belgium,Fossil,36,87,41
2007,Belgium,Coal,6,87,7
2007,Belgium,Hard Coal,6,87,7
2007,Belgium,Gas,25,87,29
2007,Belgium,Fossil,4,87,4
2007,Belgium,Nuclear,48,87,55
2007,Belgium,Renewables,3,87,4
2007,Belgium,Bioenergy,3,87,3
2007,Bulgaria,Fossil,25,43,59
2007,Bulgaria,Coal,22,43,52
2007,Bulgaria,Hard Coal,6,43,14
2007,Bulgaria,Lignite,16,43,38
2007,Bulgaria,Gas,2,43,5
2007,Bulgaria,Fossil,1,43,2
2007,Bulgaria,Nuclear,15,43,34
2007,Bulgaria,Renewables,3,43,7
2007,Bulgaria,Hydro,3,43,7
2007,Croatia,Fossil,8,13,62
2007,Croatia,Coal,2,13,19
2007,Croatia,Hard Coal,2,13,19
2007,Croatia,Gas,3,13,24
2007,Croatia,Fossil,2,13,18
2007,Croatia,Renewables,5,13,38
2007,Croatia,Hydro,5,13,37
2007,Cyprus,Fossil,5,5,100
2007,Cyprus,Fossil,5,5,100
2007,Czech Republic,Fossil,58,88,66
2007,Czech Republic,Coal,54,88,61
2007,Czech Republic,Hard Coal,7,88,8
2007,Czech Republic,Lignite,47,88,53
2007,Czech Republic,Gas,1,88,2
2007,Czech Republic,Fossil,3,88,3
2007,Czech Republic,Nuclear,26,88,30
2007,Czech Republic,Renewables,3,88,4
2007,Czech Republic,Hydro,2,88,2
2007,Czech Republic,Bioenergy,1,88,1
2007,Denmark,Fossil,29,39,74
2007,Denmark,Coal,20,39,51
2007,Denmark,Hard Coal,20,39,51
2007,Denmark,Gas,7,39,18
2007,Denmark,Fossil,2,39,5
2007,Denmark,Renewables,10,39,26
2007,Denmark,Wind and solar,7,39,18
2007,Denmark,Wind,7,39,18
2007,Denmark,Bioenergy,3,39,8
2007,Estonia,Fossil,12,12,99
2007,Estonia,Fossil,12,12,96
2007,Finland,Fossil,33,81,41
2007,Finland,Coal,14,81,17
2007,Finland,Hard Coal,14,81,17
2007,Finland,Gas,11,81,13
2007,Finland,Fossil,9,81,11
2007,Finland,Nuclear,23,81,29
2007,Finland,Renewables,24,81,30
2007,Finland,Hydro,14,81,18
2007,Finland,Bioenergy,10,81,12
2007,France,Fossil,58,564,10
2007,France,Coal,24,564,4
2007,France,Hard Coal,24,564,4
2007,France,Gas,22,564,4
2007,France,Fossil,12,564,2
2007,France,Nuclear,440,564,78
2007,France,Renewables,66,564,12
2007,France,Hydro,58,564,10
2007,France,Wind and solar,4,564,1
2007,France,Wind,4,564,1
2007,France,Bioenergy,4,564,1
2007,Germany,Fossil,405,634,64
2007,Germany,Coal,297,635,47
2007,Germany,Hard Coal,142,635,22
2007,Germany,Lignite,155,635,24
2007,Germany,Gas,78,635,12
2007,Germany,Fossil,29,635,5
2007,Germany,Nuclear,141,635,22
2007,Germany,Renewables,89,635,14
2007,Germany,Hydro,21,635,3
2007,Germany,Wind and solar,44,635,7
2007,Germany,Wind,41,635,6
2007,Germany,Solar,3,635,0
2007,Germany,Bioenergy,25,635,4
2007,Greece,Fossil,58,63,93
2007,Greece,Coal,35,63,55
2007,Greece,Lignite,35,63,55
2007,Greece,Gas,14,63,23
2007,Greece,Fossil,9,63,15
2007,Greece,Renewables,5,63,7
2007,Greece,Hydro,3,63,4
2007,Greece,Wind and solar,2,63,3
2007,Greece,Wind,2,63,3
2007,Hungary,Fossil,23,40,59
2007,Hungary,Coal,7,40,18
2007,Hungary,Hard Coal,1,40,1
2007,Hungary,Lignite,7,40,17
2007,Hungary,Gas,15,40,38
2007,Hungary,Fossil,1,40,2
2007,Hungary,Nuclear,15,40,37
2007,Hungary,Renewables,2,40,5
2007,Hungary,Bioenergy,2,40,4
2007,Ireland,Fossil,25,28,90
2007,Ireland,Coal,5,28,20
2007,Ireland,Hard Coal,5,28,20
2007,Ireland,Gas,15,28,56
2007,Ireland,Fossil,4,28,15
2007,Ireland,Renewables,3,28,10
2007,Ireland,Hydro,1,28,2
2007,Ireland,Wind and solar,2,28,7
2007,Ireland,Wind,2,28,7
2007,Italy,Fossil,259,307,84
2007,Italy,Coal,44,307,14
2007,Italy,Hard Coal,44,307,14
2007,Italy,Gas,173,307,56
2007,Italy,Fossil,43,307,14
2007,Italy,Renewables,48,307,16
2007,Italy,Hydro,33,307,11
2007,Italy,Wind and solar,4,307,1
2007,Italy,Wind,4,307,1
2007,Italy,Bioenergy,5,307,2
2007,Italy,Renewables,6,307,2
2007,Latvia,Fossil,2,5,41
2007,Latvia,Gas,2,5,40
2007,Latvia,Renewables,3,5,59
2007,Latvia,Hydro,3,5,57
2007,Lithuania,Fossil,3,13,21
2007,Lithuania,Gas,2,13,18
2007,Lithuania,Nuclear,10,13,74
2007,Lithuania,Renewables,1,13,4
2007,Luxembourg,Fossil,3,3,92
2007,Luxembourg,Gas,3,3,90
2007,Malta,Fossil,2,2,100
2007,Malta,Fossil,2,2,100
2007,Netherlands,Fossil,93,105,89
2007,Netherlands,Coal,25,105,24
2007,Netherlands,Hard Coal,25,105,24
2007,Netherlands,Gas,61,105,58
2007,Netherlands,Fossil,7,105,7
2007,Netherlands,Nuclear,4,105,4
2007,Netherlands,Renewables,8,105,7
2007,Netherlands,Wind and solar,3,105,3
2007,Netherlands,Wind,3,105,3
2007,Netherlands,Bioenergy,4,105,4
2007,Poland,Fossil,153,159,97
2007,Poland,Coal,144,159,91
2007,Poland,Hard Coal,93,159,59
2007,Poland,Lignite,51,159,32
2007,Poland,Gas,4,159,3
2007,Poland,Fossil,5,159,3
2007,Poland,Renewables,5,159,3
2007,Poland,Hydro,2,159,1
2007,Poland,Wind and solar,1,159,0
2007,Poland,Wind,1,159,0
2007,Poland,Bioenergy,3,159,2
2007,Portugal,Fossil,31,47,65
2007,Portugal,Coal,12,47,26
2007,Portugal,Hard Coal,12,47,26
2007,Portugal,Gas,13,47,28
2007,Portugal,Fossil,5,47,11
2007,Portugal,Renewables,16,47,35
2007,Portugal,Hydro,10,47,22
2007,Portugal,Wind and solar,4,47,9
2007,Portugal,Wind,4,47,9
2007,Portugal,Bioenergy,2,47,4
2007,Romania,Fossil,38,62,62
2007,Romania,Coal,25,62,41
2007,Romania,Hard Coal,2,62,3
2007,Romania,Lignite,23,62,38
2007,Romania,Gas,12,62,19
2007,Romania,Fossil,1,62,2
2007,Romania,Nuclear,8,62,12
2007,Romania,Renewables,16,62,26
2007,Romania,Hydro,16,62,26
2007,Slovakia,Fossil,8,28,27
2007,Slovakia,Coal,5,28,17
2007,Slovakia,Hard Coal,3,28,10
2007,Slovakia,Lignite,2,28,7
2007,Slovakia,Gas,2,28,6
2007,Slovakia,Fossil,1,28,4
2007,Slovakia,Nuclear,15,28,55
2007,Slovakia,Renewables,5,28,18
2007,Slovakia,Hydro,4,28,16
2007,Slovenia,Fossil,6,15,40
2007,Slovenia,Coal,5,15,36
2007,Slovenia,Hard Coal,1,15,4
2007,Slovenia,Lignite,5,15,33
2007,Slovenia,Nuclear,6,15,38
2007,Slovenia,Renewables,3,15,22
2007,Slovenia,Hydro,3,15,22
2007,Spain,Fossil,188,302,62
2007,Spain,Coal,73,302,24
2007,Spain,Hard Coal,68,302,23
2007,Spain,Lignite,4,302,1
2007,Spain,Gas,95,302,31
2007,Spain,Fossil,21,302,7
2007,Spain,Nuclear,55,302,18
2007,Spain,Renewables,58,302,19
2007,Spain,Hydro,27,302,9
2007,Spain,Wind and solar,28,302,9
2007,Spain,Wind,28,302,9
2007,Spain,Solar,1,302,0
2007,Spain,Bioenergy,3,302,1
2007,Sweden,Fossil,4,149,3
2007,Sweden,Coal,1,149,0
2007,Sweden,Hard Coal,1,149,0
2007,Sweden,Gas,1,149,1
2007,Sweden,Fossil,3,149,2
2007,Sweden,Nuclear,67,149,45
2007,Sweden,Renewables,77,149,52
2007,Sweden,Hydro,66,149,44
2007,Sweden,Wind and solar,1,149,1
2007,Sweden,Wind,1,149,1
2007,Sweden,Bioenergy,10,149,7
2007,United Kingdom,Fossil,310,393,79
2007,United Kingdom,Coal,136,393,35
2007,United Kingdom,Hard Coal,136,393,35
2007,United Kingdom,Gas,166,393,42
2007,United Kingdom,Fossil,9,393,2
2007,United Kingdom,Nuclear,63,393,16
2007,United Kingdom,Renewables,20,393,5
2007,United Kingdom,Hydro,5,393,1
2007,United Kingdom,Wind and solar,5,393,1
2007,United Kingdom,Wind,5,393,1
2007,United Kingdom,Bioenergy,9,393,2
2008,Austria,Fossil,20,64,31
2008,Austria,Coal,6,64,9
2008,Austria,Hard Coal,6,64,9
2008,Austria,Gas,11,64,17
2008,Austria,Fossil,3,64,5
2008,Austria,Renewables,45,64,69
2008,Austria,Hydro,38,64,59
2008,Austria,Wind and solar,2,64,3
2008,Austria,Wind,2,64,3
2008,Austria,Bioenergy,4,64,6
2008,Belgium,Fossil,33,83,40
2008,Belgium,Coal,6,83,7
2008,Belgium,Hard Coal,6,83,7
2008,Belgium,Gas,25,83,30
2008,Belgium,Fossil,3,83,4
2008,Belgium,Nuclear,46,83,55
2008,Belgium,Renewables,4,83,5
2008,Belgium,Wind and solar,1,83,1
2008,Belgium,Wind,1,83,1
2008,Belgium,Bioenergy,3,83,4
2008,Bulgaria,Fossil,26,45,58
2008,Bulgaria,Coal,23,45,52
2008,Bulgaria,Hard Coal,6,45,14
2008,Bulgaria,Lignite,17,45,38
2008,Bulgaria,Gas,2,45,5
2008,Bulgaria,Nuclear,16,45,35
2008,Bulgaria,Renewables,3,45,7
2008,Bulgaria,Hydro,3,45,6
2008,Croatia,Fossil,7,13,54
