Year,Area,Non Renewable,Renewable
2004,Latvia,3,6
2004,Lithuania,21,
2004,Luxembourg,6,
2004,Malta,4,
2004,Netherlands,213,12
2004,Poland,439,6
2004,Portugal,80,25
2004,Romania,96,33
2004,Slovakia,41,8
2004,Slovenia,21,8
2004,Spain,463,116
2004,Sweden,91,137
2004,United Kingdom,806,30
2005,Austria,54,83
2005,Belgium,127,4
2005,Bulgaria,79,9
2005,Croatia,14,14
2005,Cyprus,9,
2005,Czech Republic,182,6
2005,Denmark,68,26
2005,Estonia,20,
2005,Finland,77,47
2005,France,606,113
2005,Germany,1231,156
2005,Greece,142,14
2005,Hungary,61,4
2005,Ireland,54,5
2005,Italy,538,99
2005,Latvia,3,7
2005,Lithuania,17,
2005,Luxembourg,6,
2005,Malta,4,
2005,Netherlands,204,17
2005,Poland,444,8
2005,Portugal,91,18
2005,Romania,94,40
2005,Slovakia,41,9
2005,Slovenia,22,7
2005,Spain,506,106
2005,Sweden,83,163
2005,United Kingdom,810,37
2006,Austria,50,83
2006,Belgium,122,5
2006,Bulgaria,82,8
2006,Croatia,15,13
2006,Cyprus,9,
2006,Czech Republic,184,7
2006,Denmark,97,24
2006,Estonia,19,
2006,Finland,113,45
2006,France,587,126
2006,Germany,1244,179
2006,Greece,137,17
2006,Hungary,62,3
2006,Ireland,55,6
2006,Italy,556,104
2006,Latvia,4,5
2006,Lithuania,14,
2006,Luxembourg,7,
2006,Malta,5,
2006,Netherlands,202,19
2006,Poland,459,8
2006,Portugal,81,34
2006,Romania,108,37
2006,Slovakia,40,9
2006,Slovenia,22,7
2006,Spain,493,128
2006,Sweden,78,143
2006,United Kingdom,824,40
2007,Austria,46,88
2007,Belgium,126,6
2007,Bulgaria,88,6
2007,Croatia,18,9
2007,Cyprus,10,
2007,Czech Republic,196,7
2007,Denmark,78,28
2007,Estonia,24,
2007,Finland,104,48
2007,France,581,135
2007,Germany,1247,222
2007,Greece,151,11
2007,Hungary,69,3
2007,Ireland,56,7
2007,Italy,563,99
2007,Latvia,4,6
2007,Lithuania,15,1
2007,Luxembourg,6,
2007,Malta,5,
2007,Netherlands,216,18
2007,Poland,450,11
2007,Portugal,74,36
2007,Romania,109,32
2007,Slovakia,35,9
2007,Slovenia,23,7
2007,Spain,504,145
2007,Sweden,76,156
2007,United Kingdom,819,45
2008,Austria,45,91
2008,Belgium,118,9
2008,Bulgaria,90,6
2008,Croatia,16,12
2008,Cyprus,10,
2008,Czech Republic,181,7
2008,Denmark,71,27
2008,Estonia,20,
2008,Finland,84,55
2008,France,574,153
2008,Germany,1209,234
2008,Greece,148,14
2008,Hungary,68,4
2008,Ireland,58,9
2008,Italy,552,121
2008,Latvia,4,6
2008,Lithuania,15,1
2008,Luxembourg,5,
2008,Malta,5,
2008,Netherlands,215,23
2008,Poland,435,14
2008,Portugal,73,35
2008,Romania,110,34
2008,Slovakia,36,9
2008,Slovenia,23,8
2008,Spain,487,160
2008,Sweden,74,165
2008,United Kingdom,798,51
2009,Austria,42,96
2009,Belgium,127,12
2009,Bulgaria,83,7
2009,Croatia,13,15
2009,Cyprus,10,
2009,Czech Republic,173,9
2009,Denmark,70,27
2009,Estonia,16,1
2009,Finland,88,43
2009,France,534,147
2009,Germany,1109,238
2009,Greece,140,19
2009,Hungary,57,5
2009,Ireland,52,11
2009,Italy,476,146
2009,Latvia,4,7
2009,Lithuania,17,1
2009,Luxembourg,6,
2009,Malta,4,
2009,Netherlands,225,26
2009,Poland,418,18
2009,Portugal,75,44
2009,Romania,94,31
2009,Slovakia,32,10
2009,Slovenia,22,10
2009,Spain,418,192
2009,Sweden,62,162
2009,United Kingdom,730,60
2010,Austria,51,92
2010,Belgium,130,15
2010,Bulgaria,87,12
2010,Croatia,13,18
2010,Cyprus,10,
2010,Czech Republic,178,12
2010,Denmark,70,33
2010,Estonia,24,2
2010,Finland,104,48
2010,France,567,166
2010,Germany,1166,261
2010,Greece,124,24
2010,Hungary,59,6
2010,Ireland,52,10
2010,Italy,482,165
2010,Latvia,6,7
2010,Lithuania,8,1
2010,Luxembourg,6,
2010,Malta,4,
2010,Netherlands,234,26
2010,Poland,429,23
2010,Portugal,58,66
2010,Romania,90,40
2010,Slovakia,32,12
2010,Slovenia,22,9
2010,Spain,364,247
2010,Sweden,76,168
2010,United Kingdom,751,63
2011,Austria,48,84
2011,Belgium,116,20
2011,Bulgaria,103,9
2011,Croatia,14,10
2011,Cyprus,10,
2011,Czech Republic,177,17
2011,Denmark,56,38
2011,Estonia,23,2
2011,Finland,85,48
2011,France,579,147
2011,Germany,1121,318
2011,Greece,133,20
2011,Hungary,57,6
2011,Ireland,47,15
2011,Italy,478,187
2011,Latvia,6,6
2011,Lithuania,6,1
2011,Luxembourg,5,
2011,Malta,4,
2011,Netherlands,220,30
2011,Poland,440,29
2011,Portugal,65,57
2011,Romania,104,34
2011,Slovakia,35,10
2011,Slovenia,22,7
2011,Spain,394,227
2011,Sweden,73,174
2011,United Kingdom,699,86
2012,Austria,39,105
2012,Belgium,105,25
2012,Bulgaria,89,13
2012,Croatia,13,10
2012,Cyprus,9,
2012,Czech Republic,171,18
2012,Denmark,42,40
2012,Estonia,21,2
2012,Finland,67,57
2012,France,560,190
2012,Germany,1138,364
2012,Greece,132,26
2012,Hungary,54,6
2012,Ireland,49,14
2012,Italy,458,217
2012,Latvia,4,8
2012,Lithuania,6,2
2012,Luxembourg,5,
2012,Malta,5,
2012,Netherlands,202,30
2012,Poland,424,39
2012,Portugal,65,49
2012,Romania,99,32
2012,Slovakia,33,11
2012,Slovenia,22,8
2012,Spain,407,235
2012,Sweden,72,204
2012,United Kingdom,712,104
2013,Austria,32,105
2013,Belgium,100,29
2013,Bulgaria,77,16
2013,Croatia,12,19
2013,Cyprus,8,
2013,Czech Republic,164,21
2013,Denmark,52,44
2013,Estonia,24,3
2013,Finland,78,52
2013,France,554,220
2013,Germany,1152,388
2013,Greece,112,36
2013,Hungary,46,6
2013,Ireland,44,15
2013,Italy,395,260
2013,Latvia,5,7
2013,Lithuania,5,3
2013,Luxembourg,3,
2013,Malta,4,
2013,Netherlands,201,30
2013,Poland,431,40
2013,Portugal,54,71
2013,Romania,82,45
2013,Slovakia,32,13
2013,Slovenia,21,10
2013,Spain,323,292
2013,Sweden,75,175
2013,United Kingdom,664,137
2014,Austria,26,105
2014,Belgium,86,32
2014,Bulgaria,84,17
2014,Croatia,9,20
2014,Cyprus,8,
2014,Czech Republic,162,20
2014,Denmark,39,50
2014,Estonia,22,3
2014,Finland,67,54
2014,France,519,212
2014,Germany,1096,420
2014,Greece,102,32
2014,Hungary,42,7
2014,Ireland,43,18
2014,Italy,357,279
2014,Latvia,5,5
2014,Lithuania,4,3
2014,Luxembourg,3,
2014,Malta,4,
2014,Netherlands,209,30
2014,Poland,407,47
2014,Portugal,53,76
2014,Romania,82,62
2014,Slovakia,29,13
2014,Slovenia,18,13
2014,Spain,316,286
2014,Sweden,70,183
2014,United Kingdom,578,165
2015,Austria,31,101
2015,Belgium,83,37
2015,Bulgaria,87,20
2015,Croatia,10,16
2015,Cyprus,8,
2015,Czech Republic,161,22
2015,Denmark,27,53
2015,Estonia,18,4
2015,Finland,58,63
2015,France,539,213
2015,Germany,1088,497
2015,Greece,96,38
2015,Hungary,44,7
2015,Ireland,45,22
2015,Italy,387,256
2015,Latvia,6,5
2015,Lithuania,4,3
2015,Luxembourg,2,
2015,Malta,2,
2015,Netherlands,228,36
2015,Poland,414,56
2015,Portugal,69,61
2015,Romania,86,61
2015,Slovakia,29,13
2015,Slovenia,19,8
2015,Spain,355,257
2015,Sweden,62,221
2015,United Kingdom,511,213
2016,Austria,30,108
2016,Belgium,96,37
2016,Bulgaria,78,17
2016,Croatia,11,17
2016,Cyprus,9,
2016,Czech Republic,163,21
2016,Denmark,33,50
2016,Estonia,21,4
2016,Finland,60,64
2016,France,527,228
2016,Germany,1087,497
2016,Greece,98,39
2016,Hungary,46,7
2016,Ireland,50,21
2016,Italy,394,256
2016,Latvia,6,7
2016,Lithuania,2,4
2016,Malta,1,
2016,Netherlands,233,39
2016,Poland,417,58
2016,Portugal,66,78
2016,Romania,80,62
2016,Slovakia,28,14
2016,Slovenia,21,10
2016,Spain,311,272
2016,Sweden,70,194
2016,United Kingdom,465,211
2017,Austria,35,110
2017,Belgium,96,41
2017,Bulgaria,82,15
2017,Croatia,10,15
2017,Cyprus,9,
2017,Czech Republic,165,22
2017,Denmark,25,59
2017,Estonia,22,4
2017,Finland,55,68
2017,France,541,219
2017,Germany,1028,578
2017,Greece,102,37
2017,Hungary,47,8
2017,Ireland,47,25
2017,Italy,412,250
2017,Latvia,4,11
2017,Lithuania,1,6
2017,Luxembourg,,1
2017,Malta,3,
2017,Netherlands,227,48
2017,Poland,423,63
2017,Portugal,85,58
2017,Romania,84,58
2017,Slovakia,29,14
2017,Slovenia,21,8
2017,Spain,357,239
2017,Sweden,72,208
2017,United Kingdom,425,255
2018,Austria,32,108
2018,Belgium,84,45
2018,Bulgaria,76,21
2018,Croatia,9,21
2018,Cyprus,9,
2018,Czech Republic,166,22
2018,Denmark,26,56
2018,Estonia,21,5
2018,Finland,59,70
2018,France,521,266
2018,Germany,977,605
2018,Greece,91,42
2018,Hungary,45,8
2018,Ireland,44,29
2018,Italy,374,269
2018,Latvia,6,7
2018,Lithuania,1,5
2018,Luxembourg,,1
2018,Malta,4,
2018,Netherlands,215,52
2018,Poland,426,56
2018,Portugal,70,72
2018,Romania,81,60
2018,Slovakia,30,12
2018,Slovenia,20,10
2018,Spain,318,271
2018,Sweden,75,199
2018,United Kingdom,392,286
2019,Austria,35,119
2019,Belgium,101,50
2019,Bulgaria,73,17
2019,Croatia,10,18
2019,Cyprus,9,
2019,Czech Republic,160,22
2019,Denmark,19,62
2019,Estonia,12,5
2019,Finland,53,68
2019,France,511,271
2019,Germany,819,657
2019,Greece,81,43
2019,Hungary,46,11
2019,Ireland,40,32
2019,Italy,366,279
2019,Latvia,7,6
2019,Lithuania,1,6
2019,Luxembourg,,1
2019,Malta,4,
2019,Netherlands,212,62
2019,Poland,395,65
2019,Portugal,54,70
2019,Romania,72,58
2019,Slovakia,29,15
2019,Slovenia,20,10
2019,Spain,296,270
2019,Sweden,74,219
2019,United Kingdom,354,312
2020,Austria,30,118
2020,Belgium,93,62
2020,Bulgaria,62,18
2020,Croatia,10,18
2020,Cyprus,8,1
2020,Czech Republic,144,22
2020,Denmark,17,63
2020,Estonia,8,5
2020,Finland,48,75
2020,France,460,299
2020,Germany,695,695
2020,Greece,69,48
2020,Hungary,45,12
2020,Ireland,38,37
2020,Italy,328,283
2020,Latvia,4,7
2020,Lithuania,3,6
2020,Luxembourg,,1
2020,Malta,4,
2020,Netherlands,191,86
2020,Poland,371,71
2020,Portugal,46,75
2020,Romania,61,58
2020,Slovakia,29,15
2020,Slovenia,20,11
2020,Spain,246,305
2020,Sweden,57,252
2020,United Kingdom,306,346
